,Open Bid_x,Open Bid_y,Long Swap USDNOK,Short Swap USDNOK,open_1
2005-01-03,2.16,1.52,2.4613220815752468e-06,-6.629741524001343e-06,6.1175
2005-01-04,2.27,1.6,2.718314644920148e-06,-6.218905472636816e-06,6.1075
2005-01-05,2.25,1.71,8.717948717948712e-06,-1.4898989898989891e-05,6.2406
2005-01-06,2.23,1.64,2.321981424148606e-06,-5.755755755755759e-06,6.2318
2005-01-07,2.23,1.63,2.1499828001375997e-06,-5.839172505839173e-06,6.2615
2005-01-08,2.26,1.74,3.578732106339469e-06,-4.990019960079836e-06,6.2615
2005-01-09,2.26,1.69,3.1526925698704843e-06,-5.405854956753161e-06,6.2615
2005-01-10,2.23,1.64,2.235982112143104e-06,-5.5555555555555575e-06,6.2714
2005-01-11,2.26,1.69,3.1526925698704843e-06,-5.338672005338672e-06,6.2603
2005-01-12,2.27,1.67,1.0193679918450555e-05,-1.590909090909091e-05,6.2486
2005-01-13,2.27,1.61,2.6333673122663957e-06,-6.135986733001656e-06,6.1797
2005-01-14,2.24,1.61,2.4005486968449947e-06,-6.006006006006004e-06,6.2366
2005-01-15,2.25,1.65,3.846153846153848e-06,-5.47138047138047e-06,6.2366
2005-01-16,2.25,1.65,3.418803418803419e-06,-5.403579871664978e-06,6.2366
2005-01-17,2.25,1.61,2.4786324786324784e-06,-6.071190951430469e-06,6.2449
2005-01-18,2.25,1.67,3.247863247863248e-06,-5.438420348058902e-06,6.2851
2005-01-19,2.27,1.6,8.154943934760442e-06,-1.8656716417910448e-05,6.2643
2005-01-20,2.26,1.6,2.897068847989092e-06,-6.154357950765135e-06,6.2815
2005-01-21,2.27,1.58,2.973156642881413e-06,-6.126216851292378e-06,6.3258
2005-01-22,2.27,1.65,3.992524634726473e-06,-5.6057563587684055e-06,6.3258
2005-01-23,2.27,1.65,3.567787971457696e-06,-5.6057563587684055e-06,6.3258
2005-01-24,2.3,1.58,3.1986531986531977e-06,-6.574621959237343e-06,6.2873
2005-01-25,2.3,1.67,3.619528619528618e-06,-5.5055055055055084e-06,6.3009
2005-01-26,2.28,1.7,9.654471544715446e-06,-1.6567754698318493e-05,6.3283
