,Open Bid_x,Open Bid_y,Short Swap USDPLN,Long Swap USDPLN,open_1
2005-01-03,2.16,2.0,3.4827123195703256e-05,-3.9556962025316456e-05,6.7022
2005-01-04,2.27,2.0,3.358208955223881e-05,-3.678219503907577e-05,6.6928
2005-01-05,2.25,1.94,0.0001035353535353,-0.0001102564102564,6.8211
2005-01-06,2.23,2.0,3.3950617283950624e-05,-3.715170278637771e-05,6.8083
2005-01-07,2.23,2.0,3.3950617283950624e-05,-3.715170278637771e-05,6.8598
2005-01-08,2.26,1.94,3.418163672654691e-05,-3.740627130197684e-05,6.8598
2005-01-09,2.26,1.94,3.418163672654691e-05,-3.740627130197684e-05,6.8598
2005-01-10,2.23,2.0,3.4848484848484856e-05,-3.792569659442724e-05,6.9083
2005-01-11,2.26,2.0,3.478478478478479e-05,-3.740627130197684e-05,6.8888
2005-01-12,2.27,2.0,0.0001047979797979,-0.0001103465851172,6.8885
2005-01-13,2.27,2.0,3.399668325041459e-05,-3.678219503907577e-05,6.8301
2005-01-14,2.24,2.0,3.478478478478479e-05,-3.763717421124829e-05,6.8941
2005-01-15,2.25,1.89,3.114478114478114e-05,-3.632478632478632e-05,6.8941
2005-01-16,2.25,1.94,3.1323877068557915e-05,-3.632478632478632e-05,6.8941
2005-01-17,2.25,2.0,3.368263473053892e-05,-3.709401709401709e-05,6.9014
2005-01-18,2.25,2.0,3.3718206157965195e-05,-3.6752136752136745e-05,6.9426
2005-01-19,2.27,2.0,0.0001007462686567,-0.0001103465851172,6.9401
2005-01-20,2.26,2.0,3.37658017298736e-05,-3.655419222903886e-05,6.9362
2005-01-21,2.27,2.0,3.432359852299429e-05,-3.678219503907577e-05,6.9863
2005-01-22,2.27,1.89,3.3718206157965195e-05,-3.6357458375807e-05,6.9863
2005-01-23,2.27,1.94,3.3718206157965195e-05,-3.6357458375807e-05,6.9863
2005-01-24,2.3,1.95,3.2626561472715315e-05,-3.5774410774410783e-05,6.9414
2005-01-25,2.3,1.99,3.353353353353353e-05,-3.535353535353536e-05,6.9638
2005-01-26,2.28,1.99,9.891196834817014e-05,-0.0001097560975609,6.9833
2005-01-27,2.4,1.99,3.238049095607236e-05,-3.431372549019608e-05,6.941
2005-01-28,2.47,2.0,3.0125195618153373e-05,-3.2660902977905856e-05,6.9721
2005-01-29,2.49,1.93,2.9800809212573925e-05,-3.311047437121935e-05,6.9721
2005-01-30,2.45,1.93,3.0125195618153373e-05,-3.381642512077295e-05,6.9721
2005-01-31,2.46,1.99,2.9572409488139825e-05,-3.291586384071933e-05,6.9884
2005-02-01,2.51,1.97,2.989642184557438e-05,-3.19721430832542e-05,6.9778
2005-02-02,2.46,2.0,8.895131086142323e-05,-9.754335260115606e-05,6.9494
2005-02-03,2.46,1.96,3.035268414481898e-05,-3.323699421965318e-05,6.9659
2005-02-04,2.51,1.97,3.02887633396108e-05,-3.236783792339348e-05,7.0019
2005-02-05,2.49,1.9,3.022411616161616e-05,-3.231454950652658e-05,7.0019
2005-02-06,2.48,1.95,2.9252017380509e-05,-3.2487228607918256e-05,7.0019
2005-02-07,2.52,1.97,3.0367231638418085e-05,-3.21969696969697e-05,7.0729
2005-02-08,2.52,2.0,2.9861111111111103e-05,-3.21969696969697e-05,7.1168
2005-02-09,2.46,2.0,8.94194756554307e-05,-9.92292870905588e-05,7.1178
2005-02-10,2.46,1.95,2.9806491885143567e-05,-3.307642903018626e-05,7.075
2005-02-11,2.51,1.95,2.9325286289074595e-05,-3.220955998733777e-05,7.0615
2005-02-12,2.52,1.95,3.0203442879499223e-05,-3.21969696969697e-05,7.0615
2005-02-13,2.47,1.95,2.987861811391224e-05,-3.306115914185078e-05,7.0615
2005-02-14,2.46,1.95,2.9884519350811475e-05,-3.315671162491972e-05,7.031
2005-02-15,2.46,1.96,2.9572409488139825e-05,-3.243416827231856e-05,7.0043
2005-02-16,2.51,1.96,9.08662900188324e-05,-9.639126305792972e-05,6.9634
2005-02-17,2.52,2.0,2.9968701095461656e-05,-3.203914141414141e-05,6.9646
2005-02-18,2.48,2.0,2.9093160012380076e-05,-3.208812260536399e-05,6.9504
2005-02-19,2.51,1.91,2.9093160012380076e-05,-3.19721430832542e-05,6.9504
2005-02-20,2.51,1.91,2.9572409488139825e-05,-3.19721430832542e-05,6.9504
2005-02-21,2.47,1.97,2.886710239651417e-05,-3.290105667627281e-05,6.9687
2005-02-22,2.49,1.97,2.793252862890746e-05,-3.072269977714103e-05,6.922
2005-02-23,2.51,1.97,8.4958217270195e-05,-9.35422602089269e-05,6.8683
2005-02-24,2.48,1.96,2.8476101800124143e-05,-3.168901660280971e-05,6.861
2005-02-25,2.52,1.91,2.816358024691358e-05,-3.061868686868688e-05,6.8681
2005-02-26,2.5,1.96,2.7386541471048515e-05,-2.976190476190477e-05,6.8681
2005-02-27,2.5,1.96,2.754237288135593e-05,-2.976190476190477e-05,6.8681
2005-02-28,2.49,2.0,2.7158774373259048e-05,-3.0324737344794647e-05,6.8354
2005-03-01,2.51,1.97,2.754565150108326e-05,-3.19721430832542e-05,6.8632
2005-03-02,2.47,1.95,8.49673202614379e-05,-9.462055715658022e-05,6.8733
2005-03-03,2.47,2.0,2.8633675692499214e-05,-3.146013448607109e-05,6.9051
2005-03-04,2.52,2.0,2.911173885750157e-05,-3.109217171717171e-05,6.8969
2005-03-05,2.52,1.89,3.06811048336472e-05,-3.2591540404040405e-05,6.8969
2005-03-06,2.48,1.89,3.002793296089385e-05,-3.328544061302683e-05,6.8969
2005-03-07,2.52,2.0,3.035268414481898e-05,-3.2591540404040405e-05,6.8295
2005-03-08,2.47,1.94,3.057889822595705e-05,-3.386167146974063e-05,6.8326
2005-03-09,2.48,2.0,8.891992551210429e-05,-9.746168582375476e-05,6.7589
2005-03-10,2.53,2.0,2.9968701095461656e-05,-3.186968838526912e-05,6.74
2005-03-11,2.5,1.97,2.87037037037037e-05,-3.190476190476191e-05,6.7569
2005-03-12,2.56,2.0,2.9089506172839505e-05,-3.128901373283395e-05,6.7569
2005-03-13,2.58,2.0,2.9089506172839505e-05,-3.0959031657355685e-05,6.7569
2005-03-14,2.59,1.98,2.869858809085329e-05,-3.071804394924173e-05,6.7415
2005-03-15,2.63,2.0,2.762598664238008e-05,-3.014998469543924e-05,6.7982
2005-03-16,2.66,2.0,7.956560283687943e-05,-8.857012750455374e-05,6.8241
2005-03-17,2.73,2.0,2.666962174940899e-05,-2.859696157283289e-05,6.7844
2005-03-18,2.7,2.0,2.5950292397660816e-05,-2.9279279279279277e-05,6.8031
2005-03-19,2.71,1.97,2.58092738407699e-05,-2.837675950883498e-05,6.8031
2005-03-20,2.73,1.97,2.5950292397660816e-05,-2.807566279416145e-05,6.8031
2005-03-21,2.72,2.0,2.5378126817917397e-05,-2.8599163679808837e-05,6.8816
2005-03-22,2.77,1.96,2.525252525252525e-05,-2.7483053345122317e-05,6.9366
2005-03-23,2.78,2.0,7.567804024496936e-05,-8.134920634920635e-05,6.9753
2005-03-24,2.77,2.0,2.489177489177489e-05,-2.7483053345122317e-05,7.0131
2005-03-25,2.74,1.96,2.3943865740740745e-05,-2.644087938205585e-05,7.0414
2005-03-26,2.75,1.93,2.272727272727273e-05,-2.703703703703704e-05,7.0414
2005-03-27,2.75,1.93,2.272727272727273e-05,-2.703703703703704e-05,7.0414
2005-03-28,2.74,1.96,2.28587962962963e-05,-2.718360071301248e-05,7.0578
2005-03-29,2.78,1.97,2.1876799078871623e-05,-2.586713697824809e-05,7.0526
2005-03-30,2.72,2.0,6.937172774869111e-05,-7.683691756272401e-05,7.0502
2005-03-31,2.72,2.0,2.239674229203025e-05,-2.561230585424134e-05,7.0632
2005-04-01,2.78,2.0,2.259643062751871e-05,-2.5132275132275137e-05,7.0694
2005-04-02,2.76,1.96,2.2497106481481488e-05,-2.504432624113476e-05,7.0694
2005-04-03,2.76,1.96,2.2497106481481488e-05,-2.504432624113476e-05,7.0694
