,Open Bid_x,Open Bid_y,Long Swap USDSEK,Short Swap USDSEK,open_1
2005-01-03,2.16,2.0,8.790436005626236e-08,-2.601544142329641e-06,6.7022
2005-01-04,2.27,2.0,1.0193679918450562e-06,-2.9021558872305133e-06,6.6928
2005-01-05,2.25,1.94,5.3846153846153855e-06,-9.090909090909084e-06,6.8211
2005-01-06,2.23,2.0,6.879944960440334e-07,-2.7527527527527525e-06,6.8083
2005-01-07,2.23,2.0,6.879944960440334e-07,-2.7527527527527525e-06,6.8598
2005-01-08,2.26,1.94,1.8745739604635293e-06,-3.3266799733865587e-06,6.8598
2005-01-09,2.26,1.94,1.8745739604635293e-06,-3.3266799733865587e-06,6.8598
2005-01-10,2.23,2.0,6.879944960440334e-07,-2.5252525252525232e-06,6.9083
2005-01-11,2.26,2.0,9.372869802317633e-07,-2.7527527527527525e-06,6.8888
2005-01-12,2.27,2.0,3.058103975535168e-06,-7.57575757575757e-06,6.8885
2005-01-13,2.27,2.0,1.0193679918450562e-06,-2.9021558872305133e-06,6.8301
2005-01-14,2.24,2.0,7.716049382716083e-07,-2.7527527527527525e-06,6.8941
2005-01-15,2.25,1.89,1.7948717948717952e-06,-3.451178451178452e-06,6.8941
2005-01-16,2.25,1.94,1.7948717948717952e-06,-2.955082742316786e-06,6.8941
2005-01-17,2.25,2.0,8.547008547008547e-07,-2.827677977378574e-06,6.9014
2005-01-18,2.25,2.0,8.547008547008547e-07,-2.6773761713520744e-06,6.9426
2005-01-19,2.27,2.0,3.058103975535168e-06,-8.70646766169154e-06,6.9401
2005-01-20,2.26,2.0,9.372869802317633e-07,-2.827677977378574e-06,6.9362
2005-01-21,2.27,2.0,1.0193679918450562e-06,-2.601544142329641e-06,6.9863
2005-01-22,2.27,1.89,1.953788651036357e-06,-3.597724230254352e-06,6.9863
2005-01-23,2.27,1.94,1.953788651036357e-06,-3.1793842034805887e-06,6.9863
2005-01-24,2.3,1.95,2.104377104377105e-06,-3.533859303090069e-06,6.9414
2005-01-25,2.3,1.99,1.7676767676767663e-06,-2.836169502836167e-06,6.9638
2005-01-26,2.28,1.99,4.827235772357718e-06,-9.396636993076162e-06,6.9833
2005-01-27,2.4,1.99,2.532679738562092e-06,-3.6337209302325554e-06,6.941
2005-01-28,2.47,2.0,2.56163944924752e-06,-4.303599374021906e-06,6.9721
2005-01-29,2.49,1.93,3.4224769181789266e-06,-4.979769685652039e-06,6.9721
2005-01-30,2.45,1.93,3.140096618357488e-06,-4.85133020344288e-06,6.9721
2005-01-31,2.46,1.99,2.970456005138088e-06,-4.4475655430711605e-06,6.9884
2005-02-01,2.51,1.97,3.482114593225705e-06,-4.472693032015069e-06,6.9778
2005-02-02,2.46,2.0,7.46628131021195e-06,-1.3108614232209742e-05,6.9494
2005-02-03,2.46,1.96,3.211303789338469e-06,-4.681647940074906e-06,6.9659
2005-02-04,2.51,1.97,3.482114593225705e-06,-4.472693032015069e-06,7.0019
2005-02-05,2.49,1.9,3.5020694046482037e-06,-4.892676767676767e-06,7.0019
2005-02-06,2.48,1.95,3.432311621966796e-06,-4.8882681564245816e-06,7.0019
2005-02-07,2.52,1.97,3.5511363636363658e-06,-4.472693032015069e-06,7.0729
2005-02-08,2.52,2.0,2.919823232323232e-06,-4.629629629629631e-06,7.1168
2005-02-09,2.46,2.0,7.46628131021195e-06,-1.3108614232209742e-05,7.1178
2005-02-10,2.46,1.95,2.8901734104046227e-06,-4.759675405742819e-06,7.075
2005-02-11,2.51,1.95,3.244697689142133e-06,-4.952027236149798e-06,7.0615
2005-02-12,2.52,1.95,3.3143939393939378e-06,-4.69483568075117e-06,7.0615
2005-02-13,2.47,1.95,2.9618956131924425e-06,-4.824151882975411e-06,7.0615
2005-02-14,2.46,1.95,2.8901734104046227e-06,-4.759675405742819e-06,7.031
2005-02-15,2.46,1.96,3.211303789338469e-06,-4.681647940074906e-06,7.0043
2005-02-16,2.51,1.96,1.0683760683760674e-05,-1.3653483992467045e-05,6.9634
2005-02-17,2.52,2.0,2.919823232323232e-06,-4.303599374021906e-06,6.9646
2005-02-18,2.48,2.0,2.6340996168582386e-06,-4.565150108325595e-06,6.9504
2005-02-19,2.51,1.91,3.5612535612535577e-06,-5.261528938409159e-06,6.9504
2005-02-20,2.51,1.91,3.5612535612535577e-06,-5.07178526841448e-06,6.9504
2005-02-21,2.47,1.97,3.2020493115594016e-06,-4.668534080298788e-06,6.9687
2005-02-22,2.49,1.97,3.342884431709649e-06,-4.797276385020119e-06,6.922
2005-02-23,2.51,1.97,1.0446343779677116e-05,-1.4391829155060356e-05,6.8683
2005-02-24,2.48,1.96,3.352490421455939e-06,-4.810676598386096e-06,6.861
2005-02-25,2.52,1.91,3.630050505050504e-06,-5.324074074074073e-06,6.8681
2005-02-26,2.5,1.96,3.4920634920634907e-06,-4.616588419405321e-06,6.8681
2005-02-27,2.5,1.96,3.4920634920634907e-06,-4.5511613308223486e-06,6.8681
2005-02-28,2.49,2.0,2.706144539955429e-06,-4.565150108325595e-06,6.8354
2005-03-01,2.51,1.97,3.482114593225705e-06,-4.797276385020119e-06,6.8632
2005-03-02,2.47,1.95,1.0086455331412114e-05,-1.4472455648926231e-05,6.8733
2005-03-03,2.47,2.0,2.56163944924752e-06,-4.4351073762838464e-06,6.9051
2005-03-04,2.52,2.0,2.919823232323232e-06,-4.237288135593221e-06,6.8969
2005-03-05,2.52,1.89,3.7878787878787874e-06,-5.100439422473324e-06,6.8969
2005-03-06,2.48,1.89,3.5121328224776487e-06,-5.353817504655498e-06,6.8969
2005-03-07,2.52,2.0,2.919823232323232e-06,-4.369538077403247e-06,6.8295
2005-03-08,2.47,1.94,3.4422030099263543e-06,-4.901960784313723e-06,6.8326
2005-03-09,2.48,2.0,7.902298850574716e-06,-1.3500931098696463e-05,6.7589
2005-03-10,2.53,2.0,2.9902423670129056e-06,-4.303599374021906e-06,6.74
2005-03-11,2.5,1.97,3.412698412698413e-06,-4.861111111111112e-06,6.7569
2005-03-12,2.56,2.0,3.1991260923845197e-06,-4.629629629629631e-06,6.7569
2005-03-13,2.58,2.0,3.336436995654874e-06,-4.629629629629631e-06,6.7569
2005-03-14,2.59,1.98,3.94614670380687e-06,-4.910988336402702e-06,6.7415
2005-03-15,2.63,2.0,3.673094582185491e-06,-5.00910746812386e-06,6.7982
2005-03-16,2.66,2.0,1.16120218579235e-05,-1.6843971631205666e-05,6.8241
2005-03-17,2.73,2.0,4.3193327375633e-06,-5.6146572104018885e-06,6.7844
2005-03-18,2.7,2.0,4.12912912912913e-06,-5.847953216374269e-06,6.8031
2005-03-19,2.71,1.97,4.791853848457622e-06,-6.124234470691165e-06,6.8031
2005-03-20,2.73,1.97,4.915102770330652e-06,-6.067251461988304e-06,6.8031
2005-03-21,2.72,2.0,4.256272401433694e-06,-5.962769051774287e-06,6.8816
2005-03-22,2.77,1.96,5.2313586796345405e-06,-6.421356421356423e-06,6.9366
2005-03-23,2.78,2.0,1.3888888888888886e-05,-1.771653543307087e-05,6.9753
2005-03-24,2.77,2.0,4.5682287061597406e-06,-6.132756132756132e-06,7.0131
2005-03-25,2.74,1.96,5.050505050505052e-06,-6.36574074074074e-06,7.0414
2005-03-26,2.75,1.93,5.11111111111111e-06,-6.63780663780664e-06,7.0414
2005-03-27,2.75,1.93,5.11111111111111e-06,-6.63780663780664e-06,7.0414
2005-03-28,2.74,1.96,5.050505050505052e-06,-6.36574074074074e-06,7.0578
2005-03-29,2.78,1.97,5.217519106407994e-06,-6.404720782959126e-06,7.0526
2005-03-30,2.72,2.0,1.2768817204301084e-05,-1.788830715532286e-05,7.0502
2005-03-31,2.72,2.0,4.256272401433694e-06,-5.962769051774287e-06,7.0632
2005-04-01,2.78,2.0,4.629629629629629e-06,-6.188831318364997e-06,7.0694
2005-04-02,2.76,1.96,5.171394799054372e-06,-6.36574074074074e-06,7.0694
2005-04-03,2.76,1.96,5.171394799054372e-06,-6.36574074074074e-06,7.0694
2005-04-04,2.74,2.0,4.38205585264409e-06,-6.076388888888889e-06,7.1096
2005-04-05,2.77,2.0,4.5682287061597406e-06,-6.132756132756132e-06,7.1513
2005-04-06,2.76,2.0,1.3519503546099292e-05,-1.788830715532286e-05,7.1227
2005-04-07,2.69,2.0,4.0650406504065046e-06,-5.790090882439168e-06,7.1031
2005-04-08,2.7,2.0,4.12912912912913e-06,-5.847953216374269e-06,7.1377
2005-04-09,2.76,1.96,5.171394799054372e-06,-6.36574074074074e-06,7.1377
2005-04-10,2.76,1.96,5.171394799054372e-06,-6.36574074074074e-06,7.1377
2005-04-11,2.77,2.0,4.5682287061597406e-06,-6.132756132756132e-06,7.0886
2005-04-12,2.74,2.0,4.38205585264409e-06,-6.076388888888889e-06,7.0527
2005-04-13,2.72,1.97,1.4560931899641584e-05,-1.8542757417102964e-05,7.081
2005-04-14,2.73,2.0,4.3193327375633e-06,-6.019727299100666e-06,7.1046
2005-04-15,2.8,2.0,4.751461988304093e-06,-6.019727299100666e-06,7.1626
2005-04-16,2.77,1.94,5.157677571470676e-06,-6.565656565656568e-06,7.1626
2005-04-17,2.77,1.94,5.157677571470676e-06,-6.565656565656568e-06,7.1626
2005-04-18,2.73,2.0,4.3193327375633e-06,-6.019727299100666e-06,7.1121
2005-04-19,2.72,2.0,4.256272401433694e-06,-5.962769051774287e-06,7.0706
2005-04-20,2.76,2.0,1.3519503546099292e-05,-1.8229166666666668e-05,7.0243
2005-04-21,2.8,2.02,4.970760233918125e-06,-6.267806267806267e-06,7.0112
2005-04-22,2.84,2.0,4.991319444444444e-06,-6.244616709732991e-06,7.0372
2005-04-23,2.86,1.95,5.613126079447321e-06,-6.8201193520886615e-06,7.0372
2005-04-24,2.86,1.95,5.613126079447321e-06,-6.766381766381765e-06,7.0372
2005-04-25,2.9,2.0,5.341880341880341e-06,-6.573367260390163e-06,7.0408
2005-04-26,2.9,1.99,5.769230769230771e-06,-7.013888888888888e-06,7.0208
2005-04-27,2.95,2.0,1.6877637130801694e-05,-2.0519262981574537e-05,7.0468
2005-04-28,2.99,2.0,5.847953216374271e-06,-7.04809286898839e-06,7.0726
2005-04-29,3.01,2.0,5.957328899972291e-06,-7.15071507150715e-06,7.0908
2005-04-30,3.01,1.97,6.51149903020227e-06,-7.356985698569857e-06,7.0908
2005-05-01,3.01,1.97,6.51149903020227e-06,-7.356985698569857e-06,7.0908
2005-05-02,3.03,2.0,6.065618968844774e-06,-7.252326217843462e-06,7.1437
2005-05-03,2.98,2.0,5.792853154662202e-06,-7.35294117647059e-06,7.1677
2005-05-04,3.01,2.0,1.7871986699916873e-05,-2.1908271908271907e-05,7.0892
2005-05-05,2.97,2.0,5.73747551077526e-06,-7.302757302757303e-06,7.0848
2005-05-06,2.94,2.0,5.56965595036661e-06,-7.15071507150715e-06,7.0828
2005-05-07,2.99,1.94,6.40490114174325e-06,-7.712257712257713e-06,7.0828
2005-05-08,2.99,1.94,6.40490114174325e-06,-7.712257712257713e-06,7.0828
2005-05-09,3.02,2.0,6.011608623548921e-06,-7.35294117647059e-06,7.1629
2005-05-10,2.98,2.0,5.792853154662202e-06,-7.35294117647059e-06,7.1379
2005-05-11,2.96,1.96,1.8939393939393943e-05,-2.257799671592776e-05,7.1524
2005-05-12,2.98,2.0,5.792853154662202e-06,-7.35294117647059e-06,7.1995
2005-05-13,2.95,1.97,6.188466947960621e-06,-7.20421169298975e-06,7.2695
2005-05-14,2.98,1.94,6.351200446677834e-06,-7.761437908496732e-06,7.2695
2005-05-15,2.98,1.94,6.351200446677834e-06,-7.761437908496732e-06,7.2695
2005-05-16,2.93,2.0,5.513146734520783e-06,-6.996397894153504e-06,7.3001
2005-05-17,2.95,2.0,5.625879043600565e-06,-6.996397894153504e-06,7.3071
2005-05-18,3.0,2.0,1.7708333333333338e-05,-2.1756978653530383e-05,7.2977
2005-05-19,2.98,2.0,5.792853154662202e-06,-7.35294117647059e-06,7.2363
2005-05-20,2.98,2.0,5.792853154662202e-06,-7.35294117647059e-06,7.2677
2005-05-21,2.96,1.92,6.242985409652077e-06,-7.799671592775044e-06,7.2677
2005-05-22,2.96,1.97,6.242985409652077e-06,-7.457580733442807e-06,7.2677
2005-05-23,2.96,1.97,6.242985409652077e-06,-7.457580733442807e-06,7.3063
2005-05-24,2.98,1.99,6.211613623673926e-06,-7.42102396514161e-06,7.2932
2005-05-25,2.95,2.0,1.6877637130801694e-05,-2.1756978653530383e-05,7.2856
2005-05-26,2.99,1.99,6.265664160401005e-06,-7.4707959793534334e-06,7.2898
2005-05-27,2.98,1.99,6.211613623673926e-06,-7.42102396514161e-06,7.3478
2005-05-28,3.01,1.96,6.3729564976447774e-06,-7.67454496060853e-06,7.3478
2005-05-29,3.01,1.99,6.3729564976447774e-06,-7.4707959793534334e-06,7.3478
